Geolocation,Species,2024 Quarter 1,2024 Quarter 2,2024 Quarter 3,2024 Quarter 4
Region VII (Central Visayas),Acetes (Alamang),,,,
Region VII (Central Visayas),Anchovies (Dilis),264.82,282.07,206.28,232.64
Region VII (Central Visayas),Big-eyed scad (Matangbaka),602.69,643.59,690.21,929.18
Region VII (Central Visayas),Bigeye tuna (Tambakol/ Bariles),,,,
Region VII (Central Visayas),Blue crab (Alimasag),,,,
Region VII (Central Visayas),Caesio (Dalagang-bukid),0.4,2.2,,
Region VII (Central Visayas),Cavalla (Talakitok),8.61,2.85,1.8,6.83
Region VII (Central Visayas),Crevalle (Salay-salay),39.07,18.6,3,2
Region VII (Central Visayas),Eastern little tuna (Bonito),55.2,10.05,33.09,14
Region VII (Central Visayas),Fimbriated sardines (Tunsoy),475.74,897.37,921.25,667.41
Region VII (Central Visayas),Flying fish (Bolador),8.59,185.29,344.19,291.13
Region VII (Central Visayas),Frigate tuna (Tulingan),100.42,74.81,35.93,55.57
Region VII (Central Visayas),Goatfish (Saramulyete),,,,
Region VII (Central Visayas),Grouper (Lapu-lapu),,,,
Region VII (Central Visayas),Hairtail (Espada),,1.37,,
Region VII (Central Visayas),Indian mackerel (Alumahan),42.25,87.68,91.63,467.36
Region VII (Central Visayas),Bali sardinella (Tamban),250.2,241.22,226.09,251.48
Region VII (Central Visayas),Indo-pacific mackerel (Hasa-hasa),56.29,57.35,27.37,65.42
Region VII (Central Visayas),Mullet (Kapak),,,,
Region VII (Central Visayas),Parrot fish (Loro),,,,
Region VII (Central Visayas),Porgies (Pargo),,,,
Region VII (Central Visayas),Round herring (Tulis),14.5,0.85,,
Region VII (Central Visayas),Roundscad (Galunggong),1058.41,1345.03,652.09,1262.06
Region VII (Central Visayas),Siganid (Samaral),,,,
Region VII (Central Visayas),Skipjack (Gulyasan),280.99,388.69,270.2,170.54
Region VII (Central Visayas),Slipmouth (Sapsap),46.26,34.6,41.95,6
Region VII (Central Visayas),Snapper (Maya-maya),,,,
Region VII (Central Visayas),Spanish mackerel (Tanigue),3.66,5.6,6.12,45
Region VII (Central Visayas),Squid (Pusit),170.29,2.9,14.4,44
Region VII (Central Visayas),Threadfin bream (Bisugo),8,,,
Region VII (Central Visayas),Yellowfin tuna (Tambakol/Bariles),77.6,127.8,37.55,75.38
Region VII (Central Visayas),Others,800.79,592.15,361.97,503.81
Cebu,Acetes (Alamang),,,,
Cebu,Anchovies (Dilis),233.72,271.07,201.28,228.89
Cebu,Big-eyed scad (Matangbaka),93.8,69.48,174.14,142.32
Cebu,Bigeye tuna (Tambakol/ Bariles),,,,
Cebu,Blue crab (Alimasag),,,,
Cebu,Caesio (Dalagang-bukid),0.4,,,
Cebu,Cavalla (Talakitok),,1,,
Cebu,Crevalle (Salay-salay),29.5,14.6,,
Cebu,Eastern little tuna (Bonito),2.1,2.05,32.09,5.75
Cebu,Fimbriated sardines (Tunsoy),454.77,870.04,860.35,655.54
Cebu,Flying fish (Bolador),2.65,46.35,32.35,17.55
Cebu,Frigate tuna (Tulingan),36.8,45.15,33.92,42.95
Cebu,Goatfish (Saramulyete),,,,
Cebu,Grouper (Lapu-lapu),,,,
Cebu,Hairtail (Espada),,,,
Cebu,Indian mackerel (Alumahan),27.76,38.86,38.63,428.18
Cebu,Bali sardinella (Tamban),105.35,109.87,217.71,242.96
Cebu,Indo-pacific mackerel (Hasa-hasa),14.4,8.8,10.15,49.5
Cebu,Mullet (Kapak),,,,
Cebu,Parrot fish (Loro),,,,
Cebu,Porgies (Pargo),,,,
Cebu,Round herring (Tulis),,,,
Cebu,Roundscad (Galunggong),199.41,288.83,149.06,909.85
Cebu,Siganid (Samaral),,,,
Cebu,Skipjack (Gulyasan),1.56,11,37.8,50
Cebu,Slipmouth (Sapsap),36,34.6,41.95,6
Cebu,Snapper (Maya-maya),,,,
Cebu,Spanish mackerel (Tanigue),3.6,3.6,5.12,45
Cebu,Squid (Pusit),,0.3,1.15,36
Cebu,Threadfin bream (Bisugo),,,,
Cebu,Yellowfin tuna (Tambakol/Bariles),41.55,34,14.1,53.2
Cebu,Others,133.6,26.78,70.14,132.63
Region IX (Zamboanga Peninsula),Acetes (Alamang),,,,
Region IX (Zamboanga Peninsula),Anchovies (Dilis),239.02,173.98,263.46,145.93
Region IX (Zamboanga Peninsula),Big-eyed scad (Matangbaka),2819.86,2825.59,2258.36,3284.07
Region IX (Zamboanga Peninsula),Bigeye tuna (Tambakol/ Bariles),84.22,295.6,153.77,320.44
Region IX (Zamboanga Peninsula),Blue crab (Alimasag),,3.69,24.12,
Region IX (Zamboanga Peninsula),Caesio (Dalagang-bukid),30.72,1.9,101.96,17.96
Region IX (Zamboanga Peninsula),Cavalla (Talakitok),59.44,63.86,85.52,33.67
Region IX (Zamboanga Peninsula),Crevalle (Salay-salay),40.16,22.08,240.24,34.3
Region IX (Zamboanga Peninsula),Eastern little tuna (Bonito),377.38,252.07,147.9,270.11
Region IX (Zamboanga Peninsula),Fimbriated sardines (Tunsoy),330.74,79.84,299.74,251.33
Region IX (Zamboanga Peninsula),Flying fish (Bolador),66.18,41.02,67.86,53.65
Region IX (Zamboanga Peninsula),Frigate tuna (Tulingan),3814.86,2323.94,1644.71,2221.31
Region IX (Zamboanga Peninsula),Goatfish (Saramulyete),301.97,165.32,213.48,219.98
Region IX (Zamboanga Peninsula),Grouper (Lapu-lapu),31.71,5.66,41.36,18.92
Region IX (Zamboanga Peninsula),Hairtail (Espada),18.58,4.65,37.38,21.5
Region IX (Zamboanga Peninsula),Indian mackerel (Alumahan),1061.5,562.66,1338.15,1371.28
Region IX (Zamboanga Peninsula),Bali sardinella (Tamban),11105.75,52243.76,44256.08,25104.82
Region IX (Zamboanga Peninsula),Indo-pacific mackerel (Hasa-hasa),368.03,79.9,96.99,110.31
Region IX (Zamboanga Peninsula),Mullet (Kapak),22.15,19.62,,4.88
Region IX (Zamboanga Peninsula),Parrot fish (Loro),9.93,160.79,53.96,6.51
Region IX (Zamboanga Peninsula),Porgies (Pargo),51.47,248.06,41.03,
Region IX (Zamboanga Peninsula),Round herring (Tulis),79.78,23.54,58.71,22.7
Region IX (Zamboanga Peninsula),Roundscad (Galunggong),8095.85,5714.16,4568.89,3261.49
Region IX (Zamboanga Peninsula),Siganid (Samaral),126.29,49.96,27.47,14.13
Region IX (Zamboanga Peninsula),Skipjack (Gulyasan),575.73,1142.08,1419.13,1507.01
Region IX (Zamboanga Peninsula),Slipmouth (Sapsap),308.82,219.72,260.17,301.96
Region IX (Zamboanga Peninsula),Snapper (Maya-maya),15.93,2.79,54.4,
Region IX (Zamboanga Peninsula),Spanish mackerel (Tanigue),18.37,8.97,63.71,24.65
Region IX (Zamboanga Peninsula),Squid (Pusit),203.01,106.15,108.33,323.38
Region IX (Zamboanga Peninsula),Threadfin bream (Bisugo),205.85,2.54,34.58,9.61
Region IX (Zamboanga Peninsula),Yellowfin tuna (Tambakol/Bariles),1528.59,1484.18,1601.18,642.35
Region IX (Zamboanga Peninsula),Others,490.66,329.9,575.75,274.21
Zamboanga del Norte,Acetes (Alamang),,,,
Zamboanga del Norte,Anchovies (Dilis),14.08,122.28,12.95,18.44
Zamboanga del Norte,Big-eyed scad (Matangbaka),451.39,662.57,400.41,977.27
Zamboanga del Norte,Bigeye tuna (Tambakol/ Bariles),,77.01,14.03,
Zamboanga del Norte,Blue crab (Alimasag),,,,
Zamboanga del Norte,Caesio (Dalagang-bukid),,,,
Zamboanga del Norte,Cavalla (Talakitok),0.81,8.44,,15.28
Zamboanga del Norte,Crevalle (Salay-salay),0.87,12.31,176.29,
Zamboanga del Norte,Eastern little tuna (Bonito),332.37,96.23,72.16,67.67
Zamboanga del Norte,Fimbriated sardines (Tunsoy),8.17,2.31,,12.47
Zamboanga del Norte,Flying fish (Bolador),,,0.16,
Zamboanga del Norte,Frigate tuna (Tulingan),2118.04,1154.88,286.57,349.96
Zamboanga del Norte,Goatfish (Saramulyete),,19.72,,
Zamboanga del Norte,Grouper (Lapu-lapu),,,,
Zamboanga del Norte,Hairtail (Espada),0.26,,3.51,6.39
Zamboanga del Norte,Indian mackerel (Alumahan),271.19,76.56,128.99,177.21
Zamboanga del Norte,Bali sardinella (Tamban),1391,4916.25,890.95,819.75
Zamboanga del Norte,Indo-pacific mackerel (Hasa-hasa),225.59,8.75,2.72,16.79
Zamboanga del Norte,Mullet (Kapak),,,,
Zamboanga del Norte,Parrot fish (Loro),3.42,0.34,,
Zamboanga del Norte,Porgies (Pargo),,,,
Zamboanga del Norte,Round herring (Tulis),14.09,1.71,10.37,1.75
Zamboanga del Norte,Roundscad (Galunggong),3758.21,2326.66,2231.94,1507.88
Zamboanga del Norte,Siganid (Samaral),,,,
Zamboanga del Norte,Skipjack (Gulyasan),421.34,991.78,1056.91,1004.19
Zamboanga del Norte,Slipmouth (Sapsap),,,,
Zamboanga del Norte,Snapper (Maya-maya),7.98,0.12,,
Zamboanga del Norte,Spanish mackerel (Tanigue),0.1,1.97,,
Zamboanga del Norte,Squid (Pusit),1.34,2.62,,
Zamboanga del Norte,Threadfin bream (Bisugo),185.03,,,
Zamboanga del Norte,Yellowfin tuna (Tambakol/Bariles),1185.92,581.72,453.03,28.75
Zamboanga del Norte,Others,260.58,185.7,0.4,22.85
Zamboanga del Sur,Acetes (Alamang),,,,
Zamboanga del Sur,Anchovies (Dilis),199.13,25.84,232.43,106.66
Zamboanga del Sur,Big-eyed scad (Matangbaka),2366.9,2152.56,1855.53,2302.35
Zamboanga del Sur,Bigeye tuna (Tambakol/ Bariles),84.22,218.59,139.75,320.44
Zamboanga del Sur,Blue crab (Alimasag),,3.69,24.12,
Zamboanga del Sur,Caesio (Dalagang-bukid),30.72,1.62,101.96,17.82
Zamboanga del Sur,Cavalla (Talakitok),50.71,49.73,84.48,16.36
Zamboanga del Sur,Crevalle (Salay-salay),24.99,7.69,63.95,33.94
Zamboanga del Sur,Eastern little tuna (Bonito),45.01,155.84,75.74,202.44
Zamboanga del Sur,Fimbriated sardines (Tunsoy),304.06,77.54,299.74,238.87
Zamboanga del Sur,Flying fish (Bolador),66.18,41.02,67.7,53.65
Zamboanga del Sur,Frigate tuna (Tulingan),1696.82,1169.06,1358.14,1871.34
Zamboanga del Sur,Goatfish (Saramulyete),198.85,124.13,174.96,175.59
Zamboanga del Sur,Grouper (Lapu-lapu),31.71,3.1,40.6,18
Zamboanga del Sur,Hairtail (Espada),18.32,4.65,33.88,15.11
Zamboanga del Sur,Indian mackerel (Alumahan),742.06,474.78,1203.36,1188.47
Zamboanga del Sur,Bali sardinella (Tamban),9623.18,47304.47,43352.31,24274.28
Zamboanga del Sur,Indo-pacific mackerel (Hasa-hasa),142.45,68.8,94.27,92.76
Zamboanga del Sur,Mullet (Kapak),13.74,6.56,,4.88
Zamboanga del Sur,Parrot fish (Loro),6.51,160.45,53.96,6.51
Zamboanga del Sur,Porgies (Pargo),51.47,248.06,41.03,
Zamboanga del Sur,Round herring (Tulis),65.69,21.32,48.35,20.95
Zamboanga del Sur,Roundscad (Galunggong),4330.24,3387.3,2336.95,1753.61
Zamboanga del Sur,Siganid (Samaral),105.3,49.96,27.47,14.13
Zamboanga del Sur,Skipjack (Gulyasan),154.4,150.3,362.22,502.82
Zamboanga del Sur,Slipmouth (Sapsap),192.59,162.5,203.74,237.36
Zamboanga del Sur,Snapper (Maya-maya),7.96,2.56,54.36,
Zamboanga del Sur,Spanish mackerel (Tanigue),16.93,6.45,63.71,24.65
Zamboanga del Sur,Squid (Pusit),197.49,101.24,107.63,321.52
Zamboanga del Sur,Threadfin bream (Bisugo),8.21,0.85,34.47,9.61
Zamboanga del Sur,Yellowfin tuna (Tambakol/Bariles),342.67,902.46,1148.15,613.61
Zamboanga del Sur,Others,207.11,107.65,550.51,230.89
Zamboanga Sibugay,Acetes (Alamang),,,,
Zamboanga Sibugay,Anchovies (Dilis),25.8,25.86,18.08,20.84
Zamboanga Sibugay,Big-eyed scad (Matangbaka),1.58,10.46,2.42,4.45
Zamboanga Sibugay,Bigeye tuna (Tambakol/ Bariles),,,,
Zamboanga Sibugay,Blue crab (Alimasag),,,,
Zamboanga Sibugay,Caesio (Dalagang-bukid),,0.28,,0.15
Zamboanga Sibugay,Cavalla (Talakitok),7.92,5.69,1.04,2.02
Zamboanga Sibugay,Crevalle (Salay-salay),14.3,2.08,,0.36
Zamboanga Sibugay,Eastern little tuna (Bonito),,,,
Zamboanga Sibugay,Fimbriated sardines (Tunsoy),18.51,,,
Zamboanga Sibugay,Flying fish (Bolador),,,,
Zamboanga Sibugay,Frigate tuna (Tulingan),,,,
Zamboanga Sibugay,Goatfish (Saramulyete),103.12,21.47,38.53,44.39
Zamboanga Sibugay,Grouper (Lapu-lapu),,2.56,0.76,0.92
Zamboanga Sibugay,Hairtail (Espada),,,,
Zamboanga Sibugay,Indian mackerel (Alumahan),48.25,11.32,5.8,5.6
Zamboanga Sibugay,Bali sardinella (Tamban),91.57,23.04,12.82,10.79
Zamboanga Sibugay,Indo-pacific mackerel (Hasa-hasa),,2.35,,0.75
Zamboanga Sibugay,Mullet (Kapak),8.41,13.06,,
Zamboanga Sibugay,Parrot fish (Loro),,,,
Zamboanga Sibugay,Porgies (Pargo),,,,
Zamboanga Sibugay,Round herring (Tulis),,0.52,,
Zamboanga Sibugay,Roundscad (Galunggong),7.4,0.2,,
Zamboanga Sibugay,Siganid (Samaral),20.99,,,
Zamboanga Sibugay,Skipjack (Gulyasan),,,,
Zamboanga Sibugay,Slipmouth (Sapsap),116.23,57.22,56.42,64.6
